Instruments,Intervals,Participant_ID,rating_stimulus,rating_score
cello,C3G3,14,wav_ak_EQ,58
cello,C3G3,15,wav_ak_EQ,86
cello,C3G3,16,wav_ak_EQ,69
cello,C3G3,17,wav_ak_EQ,46
cello,C3G3,2,wav_ak_EQ,66
cello,C3G3,4,wav_ak_EQ,61
cello,C3G3,5,wav_ak_EQ,49
cello,C3G3,6,wav_ak_EQ,51
cello,C3G3,7,wav_ak_EQ,53
cello,C3G3,8,wav_ak_EQ,79
cello,C3G3,1,96k_ak_EQ,100
cello,C3G3,11,96k_ak_EQ,88
cello,C3G3,12,96k_ak_EQ,43
cello,C3G3,13,96k_ak_EQ,29
cello,C3G3,14,96k_ak_EQ,17
cello,C3G3,15,96k_ak_EQ,86
cello,C3G3,16,96k_ak_EQ,34
cello,C3G3,17,96k_ak_EQ,22
cello,C3G3,2,96k_ak_EQ,48
cello,C3G3,4,96k_ak_EQ,69
cello,C3G3,5,96k_ak_EQ,50
cello,C3G3,6,96k_ak_EQ,41
cello,C3G3,7,96k_ak_EQ,44
cello,C3G3,8,96k_ak_EQ,79
cello,C3G3,1,wav_muk_EQ,60
cello,C3G3,11,wav_muk_EQ,41
cello,C3G3,12,wav_muk_EQ,55
cello,C3G3,13,wav_muk_EQ,58
cello,C3G3,14,wav_muk_EQ,81
cello,C3G3,15,wav_muk_EQ,100
cello,C3G3,16,wav_muk_EQ,60
cello,C3G3,17,wav_muk_EQ,62
cello,C3G3,2,wav_muk_EQ,100
cello,C3G3,4,wav_muk_EQ,74
cello,C3G3,5,wav_muk_EQ,68
cello,C3G3,6,wav_muk_EQ,71
cello,C3G3,7,wav_muk_EQ,71
cello,C3G3,8,wav_muk_EQ,42
cello,C3G3,1,96k_muk_EQ,60
cello,C3G3,11,96k_muk_EQ,62
cello,C3G3,12,96k_muk_EQ,68
cello,C3G3,13,96k_muk_EQ,56
cello,C3G3,14,96k_muk_EQ,78
cello,C3G3,15,96k_muk_EQ,80
cello,C3G3,16,96k_muk_EQ,85
cello,C3G3,17,96k_muk_EQ,47
cello,C3G3,2,96k_muk_EQ,73
cello,C3G3,4,96k_muk_EQ,86
cello,C3G3,5,96k_muk_EQ,72
cello,C3G3,6,96k_muk_EQ,29
cello,C3G3,7,96k_muk_EQ,73
cello,C3G3,8,96k_muk_EQ,41
cello,C3G3,1,wav,78
cello,C3G3,11,wav,81
cello,C3G3,12,wav,67
cello,C3G3,13,wav,81
cello,C3G3,14,wav,36
cello,C3G3,15,wav,70
cello,C3G3,16,wav,30
cello,C3G3,17,wav,75
cello,C3G3,2,wav,81
cello,C3G3,4,wav,87
cello,C3G3,5,wav,50
cello,C3G3,6,wav,100
cello,C3G3,7,wav,62
cello,C3G3,8,wav,100
cello,C4A#4,16,32k,37
piano,C3F#3,12,32k,37
piano,C4G4,8,32k,37
