score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.373,15.63,31.38,1.85,-12.29,8.24,1.95,58.68
0.332,22.86,31.38,1.85,-11.81,9.54,1.95,58.68
0.33,15.63,40.95,1.85,-11.81,9.54,1.95,58.68
0.355,15.63,31.38,1.85,-11.5,8.24,7.43,58.68
0.378,15.63,31.38,1.85,-11.5,9.54,0.46,58.68
0.365,15.63,31.38,1.85,-10.12,8.24,0.81,58.68
0.343,15.63,31.38,0.8,-11.5,8.24,0.81,58.68
0.363,15.63,31.38,1.85,-11.81,8.24,1.95,145.77
0.361,15.63,31.38,1.85,-11.81,8.24,4.12,58.68
0.371,15.63,31.38,1.85,-13.76,8.24,1.95,58.68
0.368,15.63,31.38,1.85,-11.81,4.19,0.81,58.68
0.324,56.17,31.38,1.85,-11.5,9.54,0.81,58.68
0.36,15.63,31.38,1.85,-11.81,6.52,1.95,58.68
0.367,15.63,31.38,1.85,-11.81,8.29,1.95,58.68
0.367,15.63,31.38,1.85,-11.81,8.24,0.81,102.58
0.329,15.63,48.42,1.85,-11.81,9.54,1.95,58.68
0.374,15.63,31.38,1.85,-11.81,9.59,0.81,58.68
0.347,15.63,31.38,1.28,-11.5,8.24,1.95,58.68
0.358,15.63,31.38,1.85,-11.81,9.54,5.07,58.68
0.335,15.63,31.38,1.85,-1.55,8.24,0.81,58.68
0.351,15.63,31.38,1.85,-5.02,9.54,0.46,58.68
0.381,15.63,31.38,1.85,-11.5,7.22,0.46,58.68
0.336,15.63,57.09,1.85,-11.5,9.54,0.81,58.68
0.361,15.63,34.33,1.85,-11.5,9.54,0.46,58.68
0.333,15.63,31.38,0.15,-11.5,9.54,0.46,58.68
0.362,15.63,31.38,1.85,-9.23,9.54,0.81,58.68
0.338,15.63,31.38,0.38,-11.5,9.54,0.46,58.68
0.35,15.63,31.38,1.1,-11.5,8.24,0.81,58.68
0.33,39.95,31.38,1.85,-11.5,9.54,0.46,58.68
0.369,17.28,31.38,1.85,-11.5,9.54,0.46,58.68
0.333,15.63,47.52,1.85,-11.5,8.24,0.81,58.68
0.361,15.63,31.38,1.85,-11.5,9.54,0.81,197.74
0.36,15.63,31.38,1.85,-11.5,8.24,0.81,154.14
0.354,15.63,31.38,1.85,-11.5,9.54,6.37,58.68
0.374,15.63,31.38,1.85,-11.5,7.59,0.81,58.68
0.362,15.63,31.38,1.46,-11.5,9.54,0.81,58.68
0.382,15.63,30.43,1.85,-11.5,8.24,0.81,58.68
0.37,15.63,31.38,1.85,-11.5,9.54,2.06,58.68
0.353,15.63,31.38,1.05,-11.5,8.24,0.46,58.68
0.351,15.63,31.38,1.21,-11.5,8.24,0.81,58.68
0.379,15.63,31.38,1.85,-11.5,9.68,0.46,58.68
0.339,15.63,53.92,1.85,-11.5,9.54,0.46,58.68
0.368,15.63,31.38,1.85,-11.5,5.21,0.81,58.68
0.363,15.63,31.38,1.85,-6.52,8.24,0.46,58.68
0.369,15.63,31.38,1.85,-10.69,8.24,0.81,58.68
0.365,15.63,31.38,1.85,-11.5,9.54,0.46,162.94
0.383,15.63,31.38,1.85,-11.5,9.54,0.46,52.71
0.359,15.63,31.38,1.85,-11.5,9.54,3.5,58.68
0.371,15.63,31.38,1.85,-11.5,8.24,0.46,86.93
0.364,15.63,31.38,1.85,-11.5,8.24,0.46,205.45
0.355,15.63,31.38,1.85,-11.5,8.24,9.72,58.68
0.326,50.85,31.38,1.85,-11.5,8.24,0.46,58.68
0.357,15.63,31.38,1.85,-11.5,9.54,0.46,290.11
0.359,15.63,31.38,1.85,-11.5,9.54,0.46,293.39
0.361,15.63,31.38,1.85,-11.5,9.54,2.53,58.68
0.346,15.63,31.38,1.85,-4.08,8.24,0.81,58.68
0.317,15.63,31.38,0.18,-11.5,8.24,0.81,58.68
0.337,15.63,31.38,0.71,-11.5,8.24,0.81,58.68
0.362,15.63,31.38,1.85,-11.5,9.54,0.46,159.73
0.367,15.63,31.38,1.85,-11.5,8.24,0.81,91.32
0.364,15.63,31.38,1.85,-11.5,9.54,0.46,218.72
0.341,15.63,37.92,1.85,-11.5,8.24,0.81,58.68
0.365,15.63,31.38,1.85,-11.5,9.54,0.46,145.77
0.336,15.63,31.38,1.85,-0.74,9.54,0.81,58.68
0.389,15.63,31.38,1.85,-13.76,9.54,0.46,58.68
0.339,15.63,31.38,0.63,-11.5,9.54,0.81,58.68
0.339,15.63,43.0,1.85,-11.5,8.24,0.46,58.68
0.378,15.63,31.38,1.85,-11.5,9.12,0.46,58.68
0.352,15.63,31.38,1.85,-4.88,8.24,0.81,58.68
0.382,15.63,30.21,1.85,-11.5,9.54,0.81,58.68
0.343,15.63,45.76,1.85,-11.5,9.54,0.46,58.68
0.361,15.63,31.38,1.38,-11.5,8.24,0.81,58.68
0.373,15.63,31.38,1.85,-11.5,9.54,0.46,109.38
0.369,15.63,31.38,1.85,-11.5,9.59,0.81,58.68
0.334,15.63,31.38,1.85,-0.92,8.24,0.46,58.68
0.384,15.63,31.38,1.85,-13.76,9.54,0.96,52.71
0.35,15.63,48.16,1.85,-13.76,9.54,0.46,58.68
0.354,15.63,31.38,0.65,-13.76,9.54,0.46,58.68
0.369,15.63,31.38,1.85,-11.5,9.54,0.46,213.69
0.351,15.63,31.38,1.85,-11.5,9.54,6.71,52.71
0.379,15.63,31.38,1.85,-13.76,9.54,0.46,95.29
0.371,15.63,31.38,1.85,-13.76,9.54,0.46,165.04
0.35,15.63,31.38,1.85,-4.61,9.54,0.46,52.71
0.354,15.63,31.38,0.65,-13.76,9.54,0.46,58.68
0.368,15.63,31.38,1.85,-11.5,9.54,0.46,165.58
0.342,39.95,31.38,1.85,-13.76,9.54,0.46,52.71
0.339,15.63,31.38,1.85,-13.76,1.35,0.46,58.68
0.377,15.63,32.28,1.85,-11.5,9.54,0.46,52.71
0.358,15.63,31.38,1.85,-11.5,2.44,0.46,58.68
0.354,15.63,31.38,1.85,-11.5,9.54,7.38,52.71
0.389,15.63,31.38,1.82,-13.76,9.54,0.46,58.68
