score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.272,15.04,40.72,1.87,-14.31,5.19,6.71,174.93
0.233,41.33,30.89,1.87,-9.37,9.81,6.71,174.93
0.276,15.04,41.39,1.87,-9.37,5.19,3.09,174.93
0.232,31.95,40.72,1.87,-9.37,9.81,6.71,79.92
0.275,15.04,30.89,1.87,-9.37,3.29,3.09,174.93
0.275,15.04,30.89,1.87,-9.37,1.27,3.09,79.92
0.271,15.04,40.72,1.87,-9.37,5.19,6.71,155.54
0.278,15.04,30.89,1.87,-9.37,3.99,2.07,79.92
0.283,15.04,30.89,1.87,-9.37,5.25,3.09,79.92
0.284,15.04,30.89,1.87,-9.37,9.06,3.09,79.92
0.276,15.04,30.89,1.87,-9.37,9.81,3.09,293.54
0.279,15.04,30.89,1.87,-9.37,4.43,3.09,174.93
0.27,15.04,48.11,1.87,-9.37,3.99,3.09,79.92
0.253,15.04,30.89,0.56,-9.37,3.99,3.09,79.92
0.283,15.04,30.89,1.87,-9.37,3.99,0.52,174.93
0.283,15.04,30.89,1.87,-9.37,9.81,1.4,123.48
0.275,15.04,30.89,1.71,-9.37,3.99,3.09,79.92
0.246,15.04,30.89,0.51,-9.37,3.99,3.09,174.93
0.275,15.04,30.89,1.87,-9.37,9.81,3.59,174.93
0.273,15.04,30.89,1.87,-9.37,3.99,7.87,174.93
0.276,15.04,30.89,1.87,-5.56,3.99,1.4,79.92
0.276,15.04,30.89,1.87,-6.19,9.81,3.09,174.93
0.28,15.04,30.89,1.87,-9.37,9.81,1.4,183.29
0.279,15.04,30.89,1.87,-9.37,4.42,3.09,174.93
0.286,15.04,30.89,1.87,-13.72,3.99,1.4,174.93
0.285,15.04,30.89,1.87,-9.37,9.81,2.95,79.92
0.282,15.04,30.89,1.87,-9.37,3.99,0.99,174.93
0.277,15.04,30.89,1.87,-9.37,3.99,1.82,174.93
0.284,15.04,30.89,1.87,-9.37,9.81,6.32,79.92
0.279,15.04,30.89,1.87,-9.37,3.99,3.09,220.96
0.241,37.55,30.89,1.87,-9.37,9.81,1.4,174.93
0.231,15.04,30.89,0.0,-9.37,3.99,3.09,79.92
0.275,15.04,30.89,1.87,-9.37,3.99,3.83,174.93
0.283,15.04,30.89,1.86,-9.37,3.99,3.09,79.92
0.279,15.04,30.89,1.87,-9.37,2.26,3.09,79.92
0.282,15.04,30.89,1.87,-9.14,9.81,1.4,174.93
0.239,23.83,30.89,1.87,-9.37,9.81,3.09,174.93
0.271,15.04,30.89,1.87,-2.0,3.99,1.4,174.93
0.28,15.04,30.89,1.87,-9.37,9.81,1.4,131.05
0.272,15.04,30.89,1.87,-4.15,9.81,1.4,174.93
0.286,15.04,30.89,1.87,-9.37,3.99,0.13,174.93
0.281,15.04,30.89,1.87,-9.37,3.99,3.09,110.25
0.284,15.04,30.89,1.87,-9.37,3.99,4.44,79.92
0.288,15.04,30.89,1.81,-9.37,9.81,1.4,79.92
0.28,15.04,30.89,1.87,-9.37,9.81,1.4,184.78
0.281,15.04,30.89,1.87,-9.37,5.86,3.09,79.92
0.288,15.04,30.89,1.87,-9.37,3.99,1.4,112.85
0.276,15.04,30.89,1.87,-9.37,3.99,7.16,79.92
0.266,15.04,30.89,0.88,-9.37,9.81,1.4,79.92
0.274,15.04,43.6,1.87,-9.37,3.99,3.09,174.93
0.253,15.04,30.89,0.65,-9.37,9.81,1.4,79.92
0.24,45.63,30.89,1.87,-9.37,9.81,1.4,174.93
0.254,19.68,30.89,1.87,-9.37,9.81,1.4,174.93
0.242,58.97,30.89,1.87,-9.37,9.81,3.09,79.92
0.277,15.04,34.59,1.87,-9.37,9.81,1.4,174.93
0.277,15.04,30.89,1.87,-9.37,3.99,3.09,187.31
0.247,43.94,30.89,1.87,-9.37,9.81,1.4,79.92
0.277,15.04,30.89,1.87,-9.37,7.78,3.09,174.93
