score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.23,51.17,41.07,2.48,-2.01,3.37,1.49,292.25
0.235,56.19,56.23,2.39,-9.65,7.69,7.92,291.28
0.218,31.07,54.38,1.68,-3.33,9.11,2.59,298.36
0.238,31.14,33.44,2.4,-2.81,9.34,8.49,292.63
0.25,43.24,42.19,2.95,-3.08,9.13,5.96,276.49
0.29,42.47,53.14,4.99,-9.21,7.37,9.04,273.62
0.227,56.18,38.36,2.03,-4.92,9.73,2.73,215.12
0.282,52.79,34.4,4.35,-4.95,9.61,8.91,286.86
0.273,35.48,55.04,4.31,-0.53,6.85,3.75,196.72
0.262,34.74,59.89,3.61,-6.6,9.27,7.15,133.28
0.233,57.88,39.73,1.6,-9.7,7.31,1.17,62.17
0.138,49.68,59.05,0.32,-2.4,3.06,8.63,53.04
0.242,35.82,59.25,2.88,-8.68,1.04,4.15,158.61
0.18,45.98,50.42,0.77,-6.82,1.48,9.97,155.96
0.173,50.35,38.56,0.71,-8.06,1.14,6.91,297.42
0.272,32.75,34.96,4.01,-3.64,9.53,3.71,157.02
0.198,38.59,54.13,0.94,-6.2,6.93,9.14,253.21
0.273,32.55,55.92,3.96,-5.29,5.98,4.49,63.87
0.251,39.61,57.39,2.99,-9.02,5.96,6.22,252.81
0.289,47.45,36.04,4.85,-7.04,7.53,6.91,280.82
0.149,52.95,41.63,0.24,-3.44,1.11,0.62,55.79
0.173,47.19,53.62,0.35,-6.81,4.41,9.0,211.58
0.259,42.14,57.66,3.44,-3.28,7.41,5.46,166.87
0.221,59.17,47.15,2.03,-9.06,2.73,9.83,290.43
0.265,30.09,32.33,3.39,-7.82,6.97,2.18,149.21
0.272,39.78,37.39,3.88,-6.96,9.23,1.97,273.73
0.299,34.6,38.88,4.92,-9.53,8.54,1.72,179.77
0.223,58.75,33.57,1.88,-4.92,6.87,3.43,112.19
0.297,57.23,30.24,4.91,-8.51,3.08,7.34,238.27
0.215,45.39,30.65,1.11,-7.92,9.03,4.64,241.86
0.284,57.19,41.79,4.62,-3.2,6.44,4.56,160.53
0.237,39.72,38.37,2.43,-5.92,3.36,0.83,293.32
0.274,47.18,40.08,4.2,-5.13,8.52,1.73,86.4
0.261,37.06,55.81,3.82,-6.72,9.4,8.62,147.02
0.26,48.0,59.54,3.53,-8.02,6.39,8.92,183.08
0.22,44.02,52.36,2.27,-3.67,1.06,7.65,290.26
0.234,55.36,54.5,2.37,-2.65,5.4,1.22,58.38
0.23,40.45,55.1,2.35,-8.89,1.3,5.33,112.1
0.231,49.16,38.87,2.22,-8.59,4.65,5.73,182.62
0.269,33.07,55.8,3.57,-8.51,1.99,1.82,152.56
0.25,37.34,36.86,3.14,-8.81,2.92,9.15,79.42
0.269,36.68,57.25,3.91,-5.52,9.73,3.34,198.43
0.195,36.1,43.78,1.23,-2.79,2.66,8.87,274.23
0.214,53.06,56.58,1.51,-9.48,9.17,5.81,60.99
0.284,53.28,39.65,4.76,-0.15,6.42,9.09,139.26
0.249,38.24,51.91,2.79,-9.75,4.14,0.19,127.26
0.25,44.03,40.86,2.62,-9.71,9.54,2.19,71.03
0.2,48.18,50.13,1.6,-0.85,2.39,1.8,260.91
0.266,43.47,46.79,3.84,-5.24,9.01,2.32,172.39
0.255,35.1,37.14,3.07,-3.98,4.43,0.19,162.08
0.244,38.09,59.86,2.89,-1.14,7.22,1.01,172.67
0.184,58.49,45.94,0.71,-2.38,8.0,7.37,215.18
0.202,55.53,42.91,1.7,-1.04,1.77,9.69,94.6
0.19,40.03,54.06,0.62,-6.27,6.84,3.37,261.24
0.218,38.83,47.69,1.76,-8.9,3.51,8.18,129.24
0.281,40.36,56.66,4.58,-4.26,1.99,2.67,247.88
0.202,41.38,57.85,1.9,-0.13,6.9,2.86,186.8
0.212,54.01,37.45,1.48,-5.84,4.27,9.4,211.79
0.224,47.7,58.4,2.01,-3.14,2.52,8.36,132.04
0.193,44.34,30.82,0.73,-1.86,7.08,0.15,240.44
0.284,48.8,58.44,4.65,-5.78,2.0,4.25,149.2
0.216,45.0,37.48,1.63,-9.36,7.77,2.87,220.21
0.213,38.3,55.24,1.19,-8.79,8.03,2.36,93.64
0.258,47.13,31.87,2.79,-9.82,4.86,4.21,71.36
0.123,32.46,47.61,0.02,-2.68,4.32,2.7,287.76
0.176,30.67,48.81,0.09,-6.18,3.81,0.9,245.8
0.3,47.16,32.32,4.89,-8.89,5.43,0.4,151.46
0.265,44.75,55.69,3.39,-6.48,2.66,0.55,132.13
0.264,31.88,35.28,3.25,-7.98,4.37,0.17,278.17
0.263,55.23,32.84,3.42,-5.08,8.4,1.87,95.03
0.229,58.62,36.25,2.17,-8.33,3.92,3.37,201.93
0.268,45.87,58.7,4.04,-2.57,3.67,3.1,164.38
0.209,38.8,35.57,0.98,-6.21,4.03,9.42,201.26
0.166,56.09,32.96,0.2,-1.66,4.94,5.55,118.18
0.297,43.0,33.98,4.96,-4.5,1.89,8.53,157.52
0.226,49.06,34.72,1.98,-5.02,5.48,8.22,173.95
0.214,39.07,38.03,1.54,-5.28,3.38,0.41,99.81
0.222,47.34,38.12,1.66,-7.41,1.87,1.89,113.62
0.271,55.18,36.64,4.14,-2.57,9.77,7.56,78.78
0.222,58.2,55.26,2.22,-5.66,1.28,2.25,228.72
0.117,33.32,59.75,0.11,-0.09,3.67,4.66,186.37
0.172,38.69,36.61,0.25,-1.77,9.75,1.34,264.96
0.226,51.62,52.51,1.94,-9.42,7.21,9.63,214.69
0.179,37.02,46.1,0.61,-2.82,7.06,4.52,52.17
0.26,31.81,50.46,3.46,-4.25,3.05,6.67,76.38
0.225,48.83,47.17,1.78,-7.81,7.52,1.89,89.34
0.178,48.98,49.82,0.51,-7.38,1.89,9.15,52.1
0.229,40.53,34.7,2.33,-0.93,7.37,3.67,96.66
0.26,51.15,46.26,3.6,-9.55,2.56,3.27,166.63
0.238,47.08,46.86,2.71,-4.34,4.76,2.86,179.53
0.29,33.66,52.48,4.76,-9.46,8.04,2.32,134.1
0.247,31.01,59.07,2.81,-9.18,3.89,9.78,65.01
0.179,57.54,38.39,0.39,-3.75,9.07,3.73,136.66
0.179,37.87,39.34,0.34,-4.95,4.07,1.74,230.59
0.16,56.8,54.21,0.68,-0.86,4.68,9.15,70.91
0.263,59.51,32.9,3.73,-2.86,7.81,2.52,236.98
0.197,45.39,31.41,0.49,-7.2,8.63,4.31,118.51
0.216,46.05,39.91,1.54,-8.02,4.16,1.74,193.53
0.211,41.31,31.18,1.08,-5.22,3.5,8.84,64.56
0.287,49.44,55.83,4.6,-5.16,4.63,0.45,166.16
0.195,49.5,40.15,0.81,-5.29,2.46,5.62,164.25
0.256,59.84,34.89,3.18,-8.01,4.77,7.5,174.29
0.276,40.82,56.67,4.36,-6.17,1.85,3.49,96.65
0.243,52.35,49.16,2.53,-9.84,9.69,0.23,181.86
0.281,42.95,37.86,4.45,-6.57,6.09,1.39,63.11
0.184,55.21,33.87,0.68,-3.43,2.93,7.83,68.66
0.277,30.94,41.38,4.33,-8.66,1.05,4.87,162.22
0.261,43.14,36.9,3.55,-1.48,5.09,9.27,229.17
0.219,32.3,58.21,1.96,-3.72,2.58,5.26,105.12
0.297,49.64,39.18,4.98,-8.91,6.08,1.92,123.86
0.178,55.81,45.04,0.45,-2.71,5.0,0.92,171.14
0.225,43.37,47.51,2.17,-3.99,7.33,9.9,189.41
0.285,43.22,51.36,4.57,-9.77,1.32,9.78,186.5
0.183,31.55,49.81,0.48,-8.94,4.62,6.67,255.03
0.295,55.62,41.6,4.9,-8.61,7.04,2.39,227.06
0.181,44.08,30.91,0.22,-7.04,1.88,6.91,165.19
0.174,49.32,50.0,0.24,-5.85,7.15,9.04,286.5
0.287,41.48,47.29,4.67,-9.55,9.79,4.6,262.34
0.264,35.03,58.08,3.87,-3.47,2.56,4.44,196.42
0.249,42.06,56.79,2.75,-9.11,8.88,3.18,92.89
0.203,49.29,54.24,1.45,-5.13,9.71,4.48,143.26
0.257,46.51,51.21,3.22,-9.67,9.46,4.64,226.06
0.296,47.96,34.93,4.97,-2.13,7.05,2.77,97.87
0.207,32.69,46.73,1.06,-5.79,7.85,6.11,129.38
0.199,32.79,39.25,0.99,-4.55,4.8,3.65,146.59
0.206,42.24,42.79,1.64,-2.4,5.76,0.21,152.66
0.276,36.75,47.86,4.2,-2.57,2.11,5.05,166.38
0.25,43.19,41.07,3.43,-8.78,1.45,6.47,100.13
0.172,40.76,57.66,0.71,-1.5,4.65,2.0,296.22
0.267,48.23,36.67,3.82,-6.29,5.79,3.63,90.88
0.188,54.84,51.2,1.3,-4.72,1.11,8.46,105.58
0.181,39.23,56.72,0.98,-3.24,1.5,5.76,242.53
0.248,47.0,59.84,2.95,-5.8,3.66,6.37,230.06
0.256,42.24,58.52,3.44,-3.9,3.61,9.84,110.63
0.232,44.81,43.79,2.35,-6.39,7.42,8.17,83.89
0.301,31.22,43.34,5.0,-3.33,6.49,4.52,249.31
0.275,31.96,48.52,4.07,-6.37,5.05,3.1,164.05
0.188,49.74,30.01,0.21,-4.78,2.79,2.31,159.56
0.184,46.62,52.27,1.0,-1.32,8.63,5.83,82.74
0.289,43.0,31.97,4.83,-8.47,8.9,5.3,129.04
0.228,32.4,46.95,1.97,-8.81,1.73,4.75,83.99
0.261,38.01,59.42,3.53,-2.77,9.79,1.93,274.73
0.205,32.46,50.34,1.38,-1.59,9.14,5.3,147.73
0.277,40.71,58.22,4.3,-1.27,7.08,0.28,158.63
0.216,57.65,32.73,1.81,-0.92,3.53,7.82,122.74
0.278,42.65,35.38,4.41,-0.66,6.78,8.89,142.4
0.259,59.91,55.07,3.62,-9.32,9.11,8.35,135.82
0.216,44.39,32.29,1.5,-6.04,4.41,7.74,273.67
0.286,42.62,34.9,4.53,-8.56,6.47,5.23,149.98
0.28,34.36,48.35,4.62,-7.58,9.52,5.28,227.76
0.183,45.51,34.92,0.41,-9.66,1.42,4.54,137.04
0.238,51.49,42.05,2.44,-8.65,7.47,3.13,240.9
0.137,50.52,49.29,0.07,-1.84,6.57,6.1,258.94
0.291,36.31,47.81,4.87,-1.7,9.28,5.28,69.0
0.208,49.88,54.85,1.43,-5.4,3.55,1.88,263.19
0.27,50.36,46.12,4.14,-7.54,7.07,9.5,251.93
0.201,51.04,55.73,1.69,-6.41,1.09,6.97,265.55
0.272,42.6,56.53,4.12,-2.33,4.27,7.9,203.45
0.271,58.59,34.3,3.98,-5.61,3.28,0.41,282.23
0.212,31.26,55.89,1.91,-1.05,3.82,6.68,141.25
0.272,40.05,49.4,3.88,-8.59,1.76,2.45,86.56
0.284,37.29,57.7,4.53,-3.82,9.16,3.0,73.54
0.122,40.97,56.39,0.14,-1.25,5.12,7.47,181.78
0.157,32.71,52.01,0.64,-0.55,5.61,6.49,53.63
