score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.35,57.34,46.94,1.57,-24.95,3.57,1.82,167.57
0.38,49.65,46.94,2.48,-24.95,4.08,1.82,167.57
0.36,57.34,46.94,2.48,-24.95,3.57,7.98,244.65
0.37,49.65,46.94,2.48,-24.95,3.98,1.82,167.57
0.37,57.34,55.47,2.48,-24.95,4.08,1.82,167.57
0.37,57.34,46.94,2.48,-24.95,3.89,2.34,167.57
0.33,57.34,46.94,2.48,-24.95,1.26,1.82,167.57
0.35,57.34,46.94,2.48,-24.95,1.87,1.82,167.57
0.33,49.65,46.94,0.7,-24.95,3.89,1.82,167.57
0.35,57.34,46.94,2.48,-24.95,2.12,1.82,167.57
0.37,49.65,46.94,2.48,-24.95,4.08,6.02,167.57
0.34,49.65,46.94,2.48,-17.92,4.08,1.82,167.57
0.38,49.65,46.94,2.81,-24.95,4.08,1.82,167.57
0.37,49.65,46.94,2.48,-24.95,3.89,4.64,167.57
0.36,57.34,46.94,2.48,-24.95,3.89,4.71,167.57
0.36,57.34,46.94,2.48,-24.95,3.89,1.82,256.99
0.37,49.65,46.94,2.48,-24.95,2.86,1.82,167.57
0.33,57.34,46.94,2.48,-16.7,4.08,1.82,167.57
0.38,46.42,46.94,2.48,-24.95,4.08,1.82,167.57
0.37,57.34,57.59,2.48,-24.95,4.08,1.82,167.57
0.37,46.17,46.94,2.48,-24.95,3.89,1.82,167.57
0.36,49.65,46.94,2.48,-24.95,3.89,9.96,167.57
0.35,57.34,46.94,2.48,-18.9,4.08,1.82,167.57
0.37,57.34,46.94,2.48,-24.95,4.25,1.82,167.57
0.37,57.34,46.94,2.48,-24.95,3.89,1.82,198.5
0.37,57.34,46.94,2.48,-24.95,4.08,1.82,252.37
0.37,49.65,46.94,2.48,-24.95,3.89,1.82,131.04
0.37,57.34,57.37,2.48,-24.95,3.89,1.82,167.57
0.33,57.34,46.94,2.48,-13.16,3.89,1.82,167.57
0.37,57.34,48.59,2.48,-24.95,4.08,1.82,167.57
0.36,49.65,46.94,1.9,-24.95,3.89,1.82,167.57
0.36,49.65,46.94,2.48,-24.95,2.1,1.82,167.57
0.38,57.34,46.94,2.72,-24.95,4.08,1.82,167.57
0.37,55.14,46.94,2.48,-24.95,3.89,1.82,167.57
0.32,57.34,46.94,0.15,-24.95,4.08,1.82,167.57
0.37,49.65,46.94,2.48,-24.95,3.89,1.82,265.71
0.33,49.65,46.94,2.48,-1.86,4.08,1.82,167.57
0.37,49.65,46.94,2.48,-24.95,4.08,1.82,212.49
0.37,49.65,54.81,2.48,-24.95,4.08,1.82,167.57
