Instruments,Intervals,rating_stimulus,rating_score,HAAQI,PEAQ_B,PEAQ_ADV,VISQ,PEMO
cello,C4C#4,96k_muk_EQ,714,0.6701111297856723,0.242,0.25,0.7382391345528188,0.282211094
cello,C4C#4,wav,1015,1.0,1.0,1.0,1.0,1.0
cello,C4C#4,wav_ak_EQ,801,0.7342889310142774,0.58275,0.38975,0.8009133892669116,0.394426579
cello,C4C#4,wav_muk_EQ,881,0.7478140386347931,0.53225,0.53325,0.7750736183817952,0.31438640824999997
cello,C4F#4,32k,195,0.5596797605818845,0.0875,0.0972499999999999,0.1233375656597884,0.1576183215
cello,C4F#4,96k,1048,0.8648981961439819,0.4357499999999999,0.6375,0.6678976937656628,0.70923466625
cello,C4F#4,96k_ak_EQ,748,0.6425766591352495,0.21225,0.1235,0.6102621387285443,0.271334795
cello,C4F#4,96k_muk_EQ,845,0.7033178395407147,0.1755,0.1999999999999999,0.6771530446482333,0.25808372749999997
cello,C4F#4,wav,1040,1.0,1.0,1.0,1.0,1.0
cello,C4F#4,wav_ak_EQ,831,0.7357092400654084,0.5735,0.145,0.7612773633662906,0.28720222175
cello,C4F#4,wav_muk_EQ,970,0.7903449980161987,0.5567500000000001,0.37775,0.8398763356164023,0.27318836999999996
cello,C4G4,32k,217,0.5529890651755817,0.0879999999999999,0.0972499999999999,0.1606957072277033,0.15700850125
cello,C4G4,96k,1140,0.8448426412095063,0.40925,0.64175,0.7145080765237496,0.7406963245
cello,C4G4,96k_ak_EQ,625,0.6110276211803741,0.2005,0.09975,0.5724616985483464,0.29172502275
cello,C4G4,96k_muk_EQ,818,0.6484991630331672,0.149,0.19325,0.7387158779863914,0.28312357275
cello,C4G4,wav,1130,1.0,1.0,1.0,1.0,1.0
cello,C4G4,wav_ak_EQ,772,0.7192457211338619,0.5065,0.1025,0.6520085731461138,0.3021897
cello,C4G4,wav_muk_EQ,930,0.7567481518193518,0.4445,0.3532499999999999,0.7648992080436321,0.30443275049999996
piano,C3A#3,32k,948,0.7848002953186114,0.45725,0.2684999999999999,0.9317603631171012,0.23260716849999996
piano,C3A#3,96k,933,0.8890753485802849,0.63225,0.75625,0.9328946417222046,0.36636513550000005
piano,C3A#3,96k_ak_EQ,660,0.716157432456594,0.2345,0.40125,0.9258713651003034,0.356456843
piano,C3A#3,96k_muk_EQ,694,0.5031429612832429,0.03925,0.0284999999999999,0.2965885562286042,0.23983747675
piano,C3A#3,wav,974,1.0,1.0,1.0,1.0,1.0
piano,C3A#3,wav_ak_EQ,709,0.7915700017066608,0.56525,0.6675,0.92467729147539,0.5591066677500001
piano,C3A#3,wav_muk_EQ,728,0.543698820513268,0.0745,0.33925,0.1173723242146387,0.3953649185
piano,C3C#3,32k,867,0.8889959876862559,0.4609999999999999,0.254,0.9310762314432854,0.25088938149999995
piano,C3C#3,96k,1077,0.9155625973601466,0.5762499999999999,0.78725,0.9320078517303384,0.503360415
piano,C3C#3,96k_ak_EQ,593,0.7733246664342803,0.2259999999999999,0.4419999999999999,0.9205414687113522,0.42381978275
piano,C3C#3,96k_muk_EQ,626,0.6935813608955966,0.032,0.0172499999999999,0.3906821484885663,0.25935115825
piano,C3C#3,wav,1107,1.0,1.0,1.0,1.0,1.0
piano,C3C#3,wav_ak_EQ,710,0.822814507734796,0.47,0.64125,0.9235447589307948,0.64295501675
piano,C3C#3,wav_muk_EQ,712,0.7437557050211203,1.0,0.21275,0.2351977014581138,0.39765618174999995
piano,C3F#3,32k,1037,0.8029950685450008,0.4852499999999999,0.25175,0.931323157068368,0.35313996724999996
piano,C3F#3,96k,1037,0.865977625747192,0.61075,0.76325,0.9317890210908252,0.56895512825
piano,C3F#3,96k_ak_EQ,715,0.713155565326666,0.3139999999999999,0.1384999999999999,0.9178856661034942,0.5299745232499999
piano,C3F#3,96k_muk_EQ,776,0.6376084551176577,0.05725,0.0715,0.6235828221929289,0.28817222175
piano,C3F#3,wav,1083,1.0,1.0,1.0,1.0,1.0
piano,C3F#3,wav_ak_EQ,778,0.7682863527678081,0.5609999999999999,0.15525,0.918568010334322,0.6499811725
piano,C3F#3,wav_muk_EQ,766,0.69156946979029,1.0,0.47075,0.3204555081581878,0.52594545075
piano,C3G3,32k,992,0.5957735069492139,0.4815,0.32525,0.9310755530127888,0.30903510749999996
piano,C3G3,96k,1071,0.8881811151599392,0.616,0.75625,0.9320431854376344,0.505680048
piano,C3G3,96k_ak_EQ,794,0.7291771510642642,0.27075,0.1514999999999999,0.9245227459800576,0.47389897025000005
piano,C3G3,96k_muk_EQ,714,0.5440698882187702,0.1062499999999999,0.0727499999999999,0.6725344678387528,0.25782883575000004
piano,C3G3,wav,1119,1.0,1.0,1.0,1.0,1.0
piano,C3G3,wav_ak_EQ,766,0.8199709699070115,0.64025,0.1797499999999999,0.924416840000846,0.6388490357500001
piano,C3G3,wav_muk_EQ,812,0.5854740677956503,0.11475,0.39875,0.3571558251732106,0.48321207675
piano,C4A#4,32k,925,0.6935710970830437,0.4115,0.1115,0.931175485602418,0.18540785699999995
piano,C4A#4,96k,1078,0.9069052913971596,0.5680000000000001,0.74275,0.9329463759370648,0.37485499975000003
piano,C4A#4,96k_ak_EQ,750,0.6502802537559537,0.42725,0.14675,0.913454805462944,0.5546993582499999
piano,C4A#4,96k_muk_EQ,676,0.5521370063442768,0.0524999999999999,0.15425,0.4893702744620625,0.23497617675000004
piano,C4A#4,wav,993,1.0,1.0,1.0,1.0,1.0
