score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.233,48.79,47.38,2.09,-21.96,1.2,6.79,140.11
0.161,47.17,58.44,0.51,-3.76,2.62,2.73,296.98
0.266,52.15,44.44,2.31,-15.74,3.13,4.21,132.7
0.181,56.56,54.13,0.86,-11.81,1.05,8.6,144.47
0.173,46.15,57.81,0.67,-8.09,1.22,6.15,254.03
0.226,51.33,59.89,1.81,-14.49,2.18,6.7,244.05
0.237,48.16,59.01,2.09,-9.76,2.16,9.85,148.51
0.232,49.87,49.19,1.46,-15.98,3.85,8.33,127.11
0.262,40.82,48.89,3.0,-8.33,3.44,5.02,259.44
0.266,41.31,52.35,2.46,-15.92,2.8,3.72,191.24
0.169,53.16,40.01,0.22,-11.95,1.8,3.01,187.65
0.174,51.08,54.85,0.68,-3.31,4.39,6.21,126.19
0.282,48.67,41.31,2.9,-21.17,4.51,5.73,163.23
0.206,41.6,51.3,1.24,-22.04,1.32,5.23,127.19
0.244,45.34,59.61,2.15,-6.92,4.91,2.66,279.78
0.187,41.64,53.56,0.9,-3.98,4.62,5.73,178.19
0.248,47.14,58.81,2.59,-3.18,3.7,1.17,186.91
0.206,58.43,41.82,1.15,-2.31,2.13,8.02,158.19
0.252,48.43,43.59,2.66,-1.66,3.57,8.99,173.92
0.263,59.94,56.71,2.2,-23.29,4.6,8.5,168.65
0.215,49.59,41.53,0.97,-15.1,2.51,7.94,278.93
0.279,48.41,43.27,2.73,-21.41,3.43,5.66,179.98
0.276,42.9,52.23,2.78,-18.96,4.79,5.71,242.21
0.159,50.34,43.28,0.34,-24.15,1.18,5.04,169.63
0.235,54.33,48.04,1.52,-21.62,3.88,3.75,252.72
0.145,53.68,52.86,0.14,-4.59,3.47,6.46,267.15
0.26,44.2,51.87,2.92,-4.26,4.68,5.71,115.2
0.199,53.25,56.56,0.93,-13.49,2.13,2.62,270.55
0.264,53.57,50.74,2.5,-18.85,3.7,9.55,261.55
0.191,54.03,57.16,1.08,-16.02,1.04,7.25,272.44
0.244,48.4,57.68,2.49,-5.82,2.45,8.09,222.76
0.256,59.06,42.87,2.41,-14.03,2.01,1.28,285.78
0.199,40.84,57.26,1.21,-2.62,2.25,6.98,173.0
0.247,46.7,52.93,2.35,-21.47,1.34,3.14,129.25
0.268,44.86,58.47,2.73,-9.55,4.63,3.63,118.83
0.143,47.31,57.59,0.18,-3.13,2.83,7.7,205.43
0.16,41.81,54.68,0.47,-1.37,3.05,6.81,102.9
0.158,42.74,56.35,0.27,-23.95,1.35,2.57,250.12
0.255,53.3,55.82,2.31,-23.38,1.99,9.36,207.09
0.245,54.08,59.54,2.79,-1.83,2.64,5.82,113.44
0.194,40.95,50.69,0.77,-16.19,2.0,5.2,285.46
0.267,44.61,41.63,2.86,-9.07,2.48,5.53,119.38
0.18,46.22,40.77,0.54,-13.14,1.33,3.91,218.44
0.222,57.24,44.57,1.15,-18.07,2.15,9.64,186.62
0.23,56.19,43.0,1.44,-13.31,3.49,7.05,178.47
0.224,43.97,58.89,1.17,-21.88,3.17,2.86,260.15
0.163,53.81,52.0,0.14,-14.44,3.21,7.87,168.18
0.188,58.71,48.93,0.35,-14.1,4.36,2.69,164.5
0.222,59.55,41.47,1.08,-14.02,2.93,5.94,237.01
0.239,47.82,40.69,1.08,-24.47,3.0,8.82,116.84
0.25,48.14,58.26,2.51,-6.54,3.84,1.07,187.15
0.202,57.79,54.44,1.12,-10.99,3.48,8.77,209.73
0.276,57.09,54.74,2.99,-16.47,3.06,6.68,102.98
0.201,50.78,49.4,0.91,-9.61,3.89,7.03,281.27
0.166,49.3,54.24,0.62,-8.68,1.53,8.16,262.4
0.208,42.79,58.5,1.52,-2.17,4.46,4.18,245.8
0.184,57.63,59.98,0.83,-5.28,2.55,1.61,156.16
0.248,43.18,54.44,1.68,-21.2,3.42,2.45,214.41
0.212,46.88,55.17,1.53,-4.4,2.41,4.64,154.61
0.157,53.87,58.55,0.3,-10.4,3.14,8.58,195.36
0.225,52.62,45.96,1.89,-4.48,1.47,7.05,123.46
0.243,55.62,50.44,1.86,-15.03,2.93,2.6,263.95
0.242,44.93,52.05,2.09,-17.61,1.48,2.43,128.51
0.166,49.55,46.87,0.53,-2.68,2.03,1.0,163.01
0.212,45.16,47.92,0.79,-16.55,3.23,1.61,113.65
0.211,45.1,48.81,1.63,-17.4,1.12,8.97,157.02
0.174,50.01,41.93,0.51,-8.15,1.95,6.5,205.03
0.208,50.63,58.0,1.47,-2.16,3.41,7.68,194.2
0.223,52.69,57.98,1.81,-7.56,1.78,1.71,290.58
0.207,43.66,46.27,1.28,-4.57,2.19,2.41,185.49
0.234,56.5,40.88,1.65,-7.4,2.87,8.85,176.25
0.175,54.14,43.38,0.5,-9.15,2.72,5.86,223.32
0.273,45.63,49.77,2.54,-22.74,3.28,8.45,104.15
0.221,54.31,44.04,1.06,-24.91,2.36,8.52,116.04
0.241,58.34,48.6,1.53,-17.87,4.74,2.78,255.82
0.244,50.53,46.3,2.07,-5.18,4.51,1.56,103.69
0.207,45.43,46.58,0.88,-20.28,2.12,7.58,171.83
0.259,51.74,51.03,2.47,-8.34,4.29,5.98,109.92
0.188,47.26,45.51,0.7,-8.75,4.31,7.97,161.24
0.236,49.08,45.89,1.16,-13.76,4.96,1.73,181.74
0.206,58.32,51.57,1.14,-6.08,4.92,7.75,282.26
0.165,51.28,46.02,0.49,-1.43,1.78,8.16,218.78
0.149,48.14,46.14,0.15,-2.36,3.25,7.92,231.88
0.25,57.84,42.07,2.11,-7.41,2.88,2.74,188.03
0.255,40.38,54.38,2.96,-3.76,2.98,7.43,164.18
0.26,46.9,47.65,2.36,-16.15,3.41,8.15,286.03
0.255,53.98,50.76,2.47,-15.25,2.87,8.7,111.59
0.277,56.75,55.63,2.92,-17.77,3.37,9.04,104.62
0.24,56.46,56.31,1.99,-10.54,4.83,4.56,178.21
0.252,47.27,50.07,2.14,-14.02,2.73,2.69,209.91
0.255,44.27,52.44,2.94,-13.86,1.61,9.93,178.02
0.266,50.0,57.47,2.15,-13.37,4.45,3.24,136.34
0.219,53.04,47.64,1.65,-6.22,2.89,9.46,129.41
0.171,56.78,55.78,0.44,-11.22,4.14,4.73,197.04
0.208,54.91,57.23,1.24,-4.07,4.25,2.07,233.77
0.217,56.48,56.74,1.31,-19.61,1.68,8.67,166.7
0.197,56.12,52.16,0.73,-14.51,4.23,8.83,170.55
0.258,55.61,41.15,1.63,-21.54,4.85,7.29,170.9
0.243,59.23,42.0,1.4,-17.29,4.97,1.8,205.52
0.208,44.46,53.91,1.46,-3.68,3.86,7.85,162.94
