score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.44,16.79,33.74,1.93,-14.32,7.84,6.76,65.96
0.496,16.79,33.74,1.93,-13.99,7.86,0.21,65.96
0.493,16.79,33.74,1.93,-14.32,9.15,0.21,83.48
0.47,16.79,57.16,1.93,-14.32,7.86,0.21,83.48
0.45,54.74,33.74,1.93,-14.32,7.84,0.21,83.48
0.449,48.22,33.74,1.93,-14.32,7.84,0.21,83.48
0.455,34.93,33.74,1.93,-14.32,7.86,0.21,65.96
0.447,40.44,33.74,1.93,-14.32,7.86,0.21,83.48
0.475,16.79,33.74,1.93,-14.32,7.86,1.31,65.96
0.467,16.79,57.59,1.93,-14.32,7.84,0.21,83.48
0.501,16.79,33.74,1.93,-14.32,9.01,0.21,65.96
0.482,16.79,52.26,1.93,-14.32,7.86,0.21,65.96
0.447,16.79,33.74,1.93,-7.31,7.84,0.21,65.96
0.494,16.79,33.74,1.94,-14.32,7.86,0.21,83.48
0.46,16.79,33.74,1.93,-13.99,7.86,0.21,294.77
0.491,16.79,33.74,1.93,-14.32,9.01,0.21,81.58
0.468,16.79,33.74,0.7,-14.32,7.86,0.21,65.96
0.463,53.84,33.74,1.93,-13.99,9.01,0.21,65.96
0.469,30.96,33.74,1.93,-14.32,7.86,0.21,65.96
0.442,16.79,33.74,1.93,-14.32,9.01,8.96,65.96
0.506,16.79,33.74,1.93,-13.99,9.89,0.21,65.96
0.459,16.79,33.74,0.42,-13.99,9.01,0.21,65.96
0.487,16.79,33.74,1.93,-13.99,5.08,0.21,65.96
0.492,16.79,33.74,1.93,-13.99,8.63,0.21,65.96
0.502,16.79,33.74,1.93,-14.32,9.11,0.21,65.96
0.442,16.79,33.74,1.93,-13.99,2.12,0.21,65.96
0.49,16.79,33.74,1.93,-13.99,5.3,0.21,65.96
0.486,16.79,48.73,1.93,-14.32,9.01,0.21,65.96
0.459,27.44,33.74,1.93,-13.99,7.86,0.21,65.96
0.495,16.79,33.74,1.93,-13.99,8.58,0.21,65.96
0.448,16.79,33.74,1.93,-7.03,9.01,0.21,65.96
0.496,16.79,33.74,1.89,-13.99,7.86,0.21,65.96
0.406,16.79,33.74,0.03,-13.99,9.01,0.21,65.96
0.485,16.79,33.74,1.93,-13.99,7.86,0.21,113.57
0.502,16.79,33.74,1.93,-13.99,9.5,0.21,65.96
0.461,56.05,33.74,1.93,-14.32,7.86,0.21,65.96
0.417,16.79,33.74,1.93,-3.0,7.86,0.21,65.96
0.397,16.79,33.74,1.93,-1.34,7.86,0.21,65.96
0.463,16.79,33.74,1.93,-14.32,9.01,0.21,208.31
0.437,16.79,33.74,1.93,-13.99,9.01,9.59,65.96
0.461,16.79,33.74,1.93,-14.32,9.01,0.21,270.9
0.436,16.79,33.74,1.93,-13.99,7.86,9.14,65.96
0.498,16.79,33.74,1.93,-13.99,7.39,0.21,65.96
0.46,16.79,33.74,1.93,-14.32,3.28,0.21,65.96
0.48,16.79,49.0,1.93,-13.99,7.86,0.21,65.96
0.462,51.84,33.74,1.93,-14.32,9.01,0.21,65.96
0.475,16.79,33.74,1.93,-14.32,7.86,2.03,65.96
0.457,16.79,33.74,1.93,-13.99,7.86,3.41,65.96
0.474,16.79,33.74,1.93,-13.99,7.86,0.78,65.96
0.496,16.79,33.74,1.91,-13.99,9.01,0.21,65.96
0.467,30.62,33.74,1.93,-14.32,9.01,0.21,65.96
0.419,16.79,33.74,1.93,-3.01,9.01,0.21,65.96
0.441,16.79,33.74,1.93,-14.32,9.01,8.37,65.96
0.458,16.79,33.74,1.93,-10.25,7.86,0.21,65.96
0.5,16.79,33.56,1.93,-13.99,9.01,0.21,65.96
0.483,16.79,40.61,1.93,-13.99,7.86,0.21,65.96
0.485,16.79,33.74,1.46,-13.99,7.86,0.21,65.96
