update,episode,timestep,reward,Hum_0,Hiss_1,CL_2,Thre_3,Ratio_4,Attk_5,Release_6,Hum_7,Hiss_8,CL_9,Thre_10,Ratio_11,Attk_12,Release_13,Hum_14,Hiss_15,CL_16,Thre_17,Ratio_18,Attk_19,Release_20,Hum_21,Hiss_22,CL_23,Thre_24,Ratio_25,Attk_26,Release_27
0,1,11,0.4475,15.0,38.39,0.0,0.0,6.61,10.0,50.0,15.0,51.68,2.0,-4.95,1.0,0.1,300.0,60.0,30.0,0.0,0.0,10.0,7.11,50.0,60.0,30.0,2.0,-10.88,1.0,0.1,139.65
0,1,12,0.4304,15.0,44.47,0.0,0.0,10.0,10.0,50.0,15.0,48.31,2.0,-5.52,1.0,0.1,278.13,60.0,30.0,0.0,0.0,10.0,9.04,50.0,60.0,30.0,0.86,-8.47,1.0,0.1,73.25
0,1,13,0.4357,15.0,33.82,0.0,0.0,10.0,10.0,50.0,15.0,60.0,2.0,-2.49,1.0,0.1,270.01,60.0,30.0,0.0,0.0,10.0,8.73,50.0,60.0,30.0,0.65,-15.0,1.0,0.1,50.0
0,1,14,0.4375,15.0,60.0,0.0,0.0,10.0,10.0,50.0,15.0,60.0,2.0,-8.7,3.14,0.1,300.0,60.0,30.0,0.0,0.0,10.0,9.79,50.0,60.0,30.0,0.96,-15.0,1.0,0.1,50.0
0,1,15,0.4164,15.0,60.0,0.0,0.0,10.0,10.0,50.0,15.0,60.0,2.0,-12.68,1.0,0.1,300.0,60.0,30.0,0.0,0.0,10.0,10.0,85.86,60.0,30.0,1.07,-15.0,1.0,0.1,50.0
0,1,16,0.4,15.0,60.0,0.0,0.0,10.0,10.0,50.0,15.0,60.0,2.0,-7.6,1.0,0.1,50.0,60.0,30.0,0.0,0.0,10.0,9.2,212.86,60.0,30.0,0.14,-15.0,1.0,0.1,50.0
0,1,17,0.392,15.0,60.0,0.0,-3.03,10.0,10.0,50.0,15.0,54.68,0.99,-1.93,2.5,0.23,76.4,60.0,30.0,0.0,0.0,10.0,10.0,277.22,60.0,30.0,0.0,-15.0,1.0,0.1,50.0
0,1,18,0.4144,26.34,60.0,0.0,-3.44,10.0,10.0,50.0,15.0,35.88,1.33,0.0,10.0,0.1,154.67,60.0,30.0,0.0,0.0,10.0,10.0,201.75,60.0,30.0,0.0,-15.0,1.0,0.1,50.0
0,1,19,0.4483,20.45,60.0,0.0,-10.85,10.0,10.0,50.0,15.0,31.11,0.0,-0.59,10.0,0.1,183.34,60.0,30.0,0.0,0.0,10.0,10.0,156.26,60.0,30.0,0.0,-7.63,1.0,0.1,50.0
0,1,20,0.4267,15.0,60.0,0.0,-10.63,10.0,10.0,50.0,15.0,39.24,0.0,0.0,10.0,0.1,166.72,60.0,30.0,0.0,0.0,10.0,0.1,86.24,60.0,30.0,0.66,0.0,1.0,0.1,50.0
0,1,21,0.4825,15.0,60.0,0.0,-15.0,10.0,10.0,50.0,15.0,30.55,0.0,0.0,10.0,0.1,50.0,60.0,30.0,0.0,0.0,10.0,0.1,50.0,60.0,30.0,1.02,0.0,1.0,0.1,50.0
0,1,22,0.4002,15.0,60.0,0.0,-11.44,10.0,10.0,50.0,15.0,48.22,0.0,0.0,10.0,0.1,50.0,60.0,30.0,0.0,0.0,10.0,0.1,50.0,60.0,30.0,0.0,0.0,1.0,0.1,50.0
0,1,23,0.408,15.0,60.0,0.0,-15.0,3.73,10.0,50.0,15.0,43.58,0.0,0.0,10.0,0.1,50.0,60.0,30.0,0.0,0.0,10.0,0.1,50.0,60.0,30.0,0.0,0.0,1.0,0.1,50.0
0,1,24,0.3606,34.0,60.0,0.0,-11.85,2.75,10.0,50.0,15.0,60.0,0.0,0.0,7.19,0.1,50.0,60.0,30.0,0.0,0.0,10.0,0.1,50.0,60.0,30.0,0.0,-1.62,1.0,0.1,50.0
0,1,25,0.3593,60.0,60.0,0.0,-15.0,1.0,10.0,50.0,15.0,60.0,0.0,0.0,6.8,0.1,50.0,60.0,30.0,0.0,0.0,10.0,0.1,50.0,60.0,30.0,0.0,-0.95,1.0,0.1,50.0
0,1,26,0.3675,60.0,60.0,0.0,-15.0,1.0,10.0,50.0,15.0,60.0,0.0,0.0,5.9,5.79,50.0,60.0,30.0,0.0,0.0,10.0,0.1,50.0,60.0,30.0,0.71,-1.13,3.77,0.1,50.0
0,1,27,0.3841,60.0,60.0,0.0,-15.0,1.0,10.0,50.0,15.0,60.0,0.0,0.0,4.39,10.0,50.0,60.0,30.0,0.0,0.0,10.0,0.1,50.0,60.0,30.0,1.65,-2.0,1.0,0.1,50.0
0,1,28,0.383,60.0,60.0,0.0,-15.0,4.47,10.0,50.0,15.0,60.0,0.0,0.0,2.2,10.0,50.0,60.0,30.0,0.0,0.0,10.0,0.1,50.0,60.0,30.0,0.8,-1.9,4.73,0.1,50.0
0,1,29,0.3593,60.0,60.0,0.0,-15.0,1.0,10.0,50.0,15.0,60.0,0.0,0.0,1.0,8.89,50.0,60.0,30.0,0.0,0.0,10.0,0.1,50.0,60.0,30.0,0.0,0.0,10.0,0.1,50.0
1,0,0,0.5358,15.0,30.0,0.56,-1.65,2.6,8.37,177.99,22.4,30.0,0.41,-10.3,2.73,0.1,50.0,15.0,30.0,1.07,-0.02,3.33,10.0,201.56,54.5,43.56,2.0,-9.09,1.26,0.1,207.1
1,0,1,0.4939,53.43,33.09,1.39,0.0,5.47,10.0,123.11,55.18,30.0,0.2,-6.96,10.0,0.88,50.0,15.0,30.0,1.66,-2.67,1.0,5.32,300.0,43.42,40.48,2.0,-2.61,4.15,0.1,269.51
1,0,2,0.4725,58.49,34.03,1.96,0.0,10.0,10.0,50.0,56.6,30.0,1.29,0.0,10.0,1.61,50.0,15.0,30.0,2.0,0.0,1.0,7.25,300.0,60.0,60.0,2.0,-8.0,3.3,0.1,300.0
1,0,3,0.4768,32.8,43.41,2.0,0.0,5.11,10.0,50.0,19.13,30.0,1.26,0.0,8.67,8.36,50.0,15.0,30.0,2.0,-3.67,1.0,10.0,300.0,60.0,60.0,2.0,0.0,1.0,0.1,70.01
1,0,4,0.4848,60.0,48.54,1.97,0.0,3.16,10.0,50.0,15.0,30.0,1.5,-2.66,7.2,9.72,50.0,15.0,30.0,2.0,-10.76,1.0,10.0,300.0,60.0,60.0,2.0,0.0,1.0,0.1,300.0
1,0,5,0.4347,15.0,60.0,2.0,0.0,2.46,10.0,50.0,36.66,44.95,1.61,-6.88,10.0,10.0,50.0,15.0,30.0,2.0,-4.7,1.0,10.0,300.0,60.0,60.0,2.0,0.0,2.28,0.1,283.34
1,0,6,0.4227,15.0,58.49,2.0,0.0,1.0,10.0,50.0,37.06,48.93,1.67,-4.49,10.0,10.0,50.0,15.0,30.0,2.0,-15.0,1.0,10.0,300.0,60.0,60.0,2.0,-2.21,3.75,0.1,300.0
1,0,7,0.4676,15.0,60.0,2.0,0.0,1.0,10.0,50.0,54.28,30.0,1.28,0.0,10.0,10.0,50.0,15.0,30.0,0.94,-15.0,1.0,10.0,300.0,60.0,60.0,2.0,0.0,1.81,0.1,300.0
1,0,8,0.4696,15.0,60.0,2.0,0.0,1.0,10.0,50.0,39.07,30.0,2.0,0.0,10.0,10.0,50.0,15.0,30.0,0.0,-15.0,1.0,10.0,300.0,60.0,60.0,2.0,0.0,5.49,0.1,300.0
1,0,9,0.4023,15.0,57.09,2.0,0.0,1.0,10.0,50.0,60.0,57.25,2.0,0.0,10.0,8.73,50.0,15.0,30.0,0.0,-15.0,1.0,10.0,300.0,60.0,60.0,2.0,0.0,8.07,0.1,300.0
1,0,10,0.433,15.0,60.0,2.0,0.0,1.0,10.0,50.0,60.0,40.44,2.0,0.0,8.46,6.39,50.0,15.0,30.0,1.71,-15.0,1.0,10.0,300.0,60.0,60.0,2.0,0.0,10.0,0.1,300.0
1,0,11,0.4291,15.0,60.0,2.0,0.0,1.0,10.0,50.0,60.0,38.86,2.0,0.0,5.87,7.53,50.0,15.0,30.0,0.56,-15.0,1.0,10.0,300.0,60.0,60.0,2.0,0.0,5.06,0.1,300.0
1,0,12,0.4042,15.0,60.0,2.0,0.0,1.43,10.0,50.0,60.0,42.25,0.0,0.0,5.46,5.59,50.0,15.0,30.0,0.39,-15.0,1.0,10.0,300.0,60.0,60.0,2.0,0.0,10.0,0.1,300.0
1,0,13,0.4122,15.0,60.0,2.0,0.0,1.0,10.0,50.0,60.0,48.46,2.0,0.0,10.0,10.0,50.0,15.0,30.0,0.36,-15.0,1.0,10.0,300.0,60.0,60.0,2.0,0.0,10.0,0.1,300.0
1,0,14,0.4093,15.0,60.0,2.0,0.0,2.77,10.0,50.0,60.0,58.51,2.0,0.0,6.78,10.0,50.0,15.0,30.0,1.21,-4.65,1.0,10.0,300.0,60.0,60.0,2.0,0.0,10.0,0.1,300.0
1,0,15,0.3678,15.0,45.49,2.0,0.0,1.0,10.0,50.0,60.0,60.0,2.0,0.0,8.14,10.0,50.0,51.52,30.0,0.31,0.0,1.0,8.51,300.0,60.0,60.0,2.0,0.0,10.0,0.1,300.0
1,0,16,0.3805,15.0,60.0,2.0,0.0,1.0,10.0,50.0,60.0,60.0,2.0,0.0,4.03,10.0,50.0,23.89,30.0,1.12,-2.7,1.0,6.74,300.0,60.0,60.0,2.0,0.0,10.0,0.1,300.0
1,0,17,0.3777,15.0,55.15,1.93,0.0,1.84,10.0,50.0,60.0,60.0,2.0,0.0,7.33,10.0,50.0,27.19,30.0,2.0,-7.8,1.0,2.25,300.0,60.0,60.0,2.0,0.0,10.0,0.1,300.0
1,0,18,0.3841,15.0,60.0,2.0,0.0,1.0,10.0,50.0,60.0,60.0,1.31,0.0,6.06,10.0,50.0,20.66,30.0,2.0,-9.7,1.0,0.1,300.0,60.0,60.0,2.0,0.0,10.0,0.1,300.0
