score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.361,19.77,32.26,1.9,-4.91,5.26,2.27,190.0,18.32,39.95,0.98,-0.32,2.64,8.59,172.39,44.68,32.9,1.15,-4.22,9.18,9.12,267.63,57.04,35.2,1.14,-11.57,4.37,3.17,122.25
0.334,57.33,43.03,1.9,-4.91,5.85,5.13,190.0,18.32,39.95,0.73,-0.32,2.64,8.59,282.46,44.68,32.9,1.12,-4.22,9.18,9.12,170.65,17.82,35.2,1.14,-5.49,4.37,4.07,206.55
0.406,57.33,41.27,1.9,-13.18,5.85,2.27,190.0,19.88,39.95,0.98,-5.5,2.64,0.35,172.39,15.81,32.9,1.12,-11.97,3.16,9.12,170.65,17.82,32.3,1.14,-11.57,3.82,4.07,206.55
0.406,25.69,32.26,1.9,-4.91,5.26,5.13,190.0,18.32,32.43,0.98,-5.5,2.64,0.35,282.46,44.68,32.9,1.15,-7.66,9.18,7.73,170.65,17.82,32.3,1.15,-11.57,3.82,3.17,206.55
0.396,25.69,32.26,1.85,-4.91,5.26,5.13,66.65,18.32,39.95,0.65,-5.5,6.22,8.59,282.46,15.81,40.97,1.15,-11.97,9.18,9.12,267.63,17.82,32.3,1.14,-5.49,3.82,4.07,122.25
0.33,57.33,43.03,1.9,-4.91,5.85,5.13,66.65,18.32,32.43,0.65,-0.32,2.64,8.59,172.39,44.68,41.52,1.12,-11.97,3.16,7.73,267.63,57.04,32.3,1.15,-11.57,4.37,9.43,206.55
0.403,57.33,43.03,1.9,-4.91,9.46,5.13,66.65,18.32,32.43,0.65,-0.32,6.22,8.59,172.39,15.81,32.9,1.15,-4.22,3.16,7.73,267.63,17.82,35.2,1.15,-11.57,4.37,3.17,122.25
0.394,57.33,32.26,1.85,-13.18,5.26,5.13,66.65,18.32,32.43,0.98,-5.5,6.22,0.35,172.39,44.68,41.52,1.12,-3.16,3.16,9.12,267.63,17.82,35.2,1.15,-5.49,4.37,3.17,206.55
0.327,25.69,43.03,1.9,-4.91,5.85,2.27,190.0,18.32,32.43,0.65,-5.5,6.22,8.59,282.46,59.88,41.52,1.12,-11.97,3.16,7.73,170.65,57.04,32.3,1.15,-5.49,4.37,3.17,122.25
0.403,25.69,32.26,1.85,-13.18,5.85,2.27,66.65,19.88,32.43,0.65,-0.32,6.22,7.2,282.46,15.81,41.52,1.15,-4.22,3.16,9.12,170.65,57.04,32.3,1.15,-5.49,4.37,4.07,206.55
0.398,57.33,32.26,1.9,-4.91,5.26,5.13,66.65,19.88,32.43,0.98,-12.0,2.64,0.35,172.39,44.68,32.9,1.15,-11.97,9.18,7.73,267.63,17.82,35.2,1.14,-5.49,3.82,4.07,122.25
0.406,25.69,43.03,1.9,-13.18,5.26,5.13,190.0,18.32,32.43,0.98,-5.5,2.64,8.59,98.13,15.81,32.9,1.15,-11.97,3.16,7.73,170.65,57.04,32.3,1.15,-5.49,3.82,4.07,122.25
