update,episode,timestep,reward,Hum_0,Hiss_1,CL_2,Thre_3,Ratio_4,Attk_5,Release_6,Hum_7,Hiss_8,CL_9,Thre_10,Ratio_11,Attk_12,Release_13,Hum_14,Hiss_15,CL_16,Thre_17,Ratio_18,Attk_19,Release_20,Hum_21,Hiss_22,CL_23,Thre_24,Ratio_25,Attk_26,Release_27
0,1,12,0.3973,60.0,30.0,0.97,0.0,1.0,10.0,50.0,60.0,30.0,0.0,-15.0,1.0,2.08,50.0,15.0,30.0,0.0,0.0,10.0,0.1,50.0,15.0,37.85,0.0,-15.0,10.0,10.0,255.33
0,1,13,0.3846,60.0,30.0,0.81,0.0,1.0,10.0,50.0,60.0,30.0,0.0,-15.0,1.0,0.1,50.0,15.0,30.0,0.0,0.0,10.0,0.1,50.0,15.0,49.18,0.0,-15.0,10.0,10.0,127.58
0,1,14,0.3856,60.0,34.04,2.0,0.0,1.0,10.0,50.0,54.14,30.0,0.0,-15.0,1.0,0.1,50.0,15.0,30.0,0.0,0.0,10.0,0.1,50.0,15.0,47.7,0.0,-15.0,10.0,10.0,265.39
1,0,0,0.3875,15.0,39.76,0.82,-13.02,7.51,1.79,193.97,36.24,43.26,0.23,-15.0,4.02,2.96,300.0,36.34,60.0,1.1,-15.0,3.88,0.1,300.0,15.0,53.79,0.84,-5.02,1.19,1.26,258.08
1,0,1,0.3982,15.0,30.0,0.0,-15.0,10.0,1.47,106.37,40.6,40.04,0.89,-15.0,2.57,0.43,169.36,42.48,60.0,0.0,-15.0,1.0,0.1,268.09,18.41,60.0,0.0,0.0,8.26,0.1,273.28
1,0,2,0.4317,15.0,51.64,1.23,-14.23,10.0,3.86,66.19,15.0,52.52,2.0,-15.0,5.99,0.1,224.38,23.96,60.0,0.0,-15.0,1.0,0.1,243.52,15.0,60.0,0.0,-14.47,6.88,0.1,179.88
1,0,3,0.3844,15.0,47.43,1.87,-0.05,10.0,1.08,205.25,15.0,60.0,1.99,-15.0,3.09,3.06,182.53,33.08,60.0,0.0,-15.0,1.26,0.1,300.0,15.0,60.0,0.0,-10.05,10.0,0.1,50.0
1,0,4,0.3943,15.0,41.01,0.0,0.0,10.0,0.1,300.0,15.0,60.0,2.0,-15.0,9.33,0.1,300.0,57.96,60.0,0.0,-15.0,1.0,0.1,300.0,15.0,60.0,0.0,-12.33,10.0,0.1,50.0
1,0,5,0.3278,15.0,57.6,0.44,0.0,10.0,0.1,121.06,15.0,60.0,0.58,-15.0,4.25,4.27,300.0,52.74,60.0,0.0,-15.0,1.0,0.1,300.0,15.0,60.0,0.0,0.0,10.0,0.1,50.0
1,0,6,0.3094,15.0,36.72,0.0,0.0,10.0,0.88,300.0,15.0,60.0,1.06,-15.0,2.21,9.93,300.0,42.14,60.0,0.0,-15.0,1.08,0.1,300.0,15.0,60.0,0.0,-1.73,10.0,0.1,50.0
1,0,7,0.3474,15.0,30.0,0.0,0.0,10.0,0.1,291.4,15.0,56.17,0.74,-15.0,10.0,7.97,300.0,43.07,60.0,0.0,-15.0,1.0,0.1,297.42,15.0,60.0,0.0,0.0,9.95,0.1,50.0
1,0,8,0.3345,15.0,30.0,0.0,0.0,10.0,0.11,248.66,15.0,51.96,0.06,-15.0,10.0,10.0,300.0,18.31,52.11,0.0,-15.0,1.0,0.1,300.0,15.0,60.0,0.0,0.0,1.6,0.1,50.0
1,0,9,0.3187,15.0,30.0,0.0,-1.25,10.0,0.1,50.0,15.0,60.0,0.0,0.0,10.0,10.0,300.0,15.0,39.69,0.0,-15.0,1.0,0.1,300.0,15.0,60.0,0.0,0.0,1.73,0.1,50.0
1,0,10,0.2996,15.0,49.95,1.21,0.0,10.0,0.1,50.0,15.0,60.0,0.0,-8.81,10.0,10.0,300.0,15.0,48.86,0.0,-15.0,1.0,0.1,300.0,15.0,60.0,0.0,-2.91,1.0,0.1,50.0
1,0,11,0.3122,15.0,56.2,0.44,0.0,10.0,5.07,50.0,15.0,60.0,0.0,-4.59,10.0,10.0,300.0,15.0,60.0,0.0,-15.0,4.29,0.1,300.0,15.0,60.0,0.0,-1.41,5.31,0.1,50.0
1,0,12,0.2981,15.0,60.0,0.0,0.0,10.0,0.1,83.4,15.0,60.0,0.16,-6.5,10.0,10.0,300.0,22.67,46.49,0.0,-15.0,5.13,0.1,300.0,15.0,60.0,0.0,-0.66,8.41,0.1,50.0
