update,episode,timestep,reward,Hum_0,Hiss_1,CL_2,Thre_3,Ratio_4,Attk_5,Release_6,Hum_7,Hiss_8,CL_9,Thre_10,Ratio_11,Attk_12,Release_13,Hum_14,Hiss_15,CL_16,Thre_17,Ratio_18,Attk_19,Release_20,Hum_21,Hiss_22,CL_23,Thre_24,Ratio_25,Attk_26,Release_27
1,1,14,0.2834,60.0,60.0,2.0,-15.0,10.0,0.1,182.75,60.0,47.01,2.0,0.0,1.0,7.86,130.49,60.0,60.0,2.0,0.0,2.82,0.1,300.0,37.27,37.51,2.0,0.0,6.56,0.1,50.0
2,0,0,0.2251,32.93,45.58,0.65,-9.62,10.0,5.9,125.92,60.0,40.48,0.0,-7.61,9.16,10.0,300.0,56.41,44.51,0.0,-13.55,1.0,10.0,50.0,29.23,41.66,0.0,-14.73,1.0,2.07,50.0
2,0,1,0.3005,23.5,45.25,0.53,-15.0,2.63,10.0,207.15,60.0,30.0,0.25,-14.07,10.0,10.0,164.86,27.54,48.14,0.0,-8.58,5.23,10.0,50.0,38.59,42.78,0.26,-12.41,1.0,0.1,50.0
2,0,2,0.356,30.39,30.0,0.0,-15.0,1.83,10.0,300.0,60.0,30.0,0.29,-13.69,10.0,10.0,233.85,18.08,46.36,0.0,-4.07,10.0,2.29,167.01,15.0,51.47,0.16,-15.0,1.0,1.72,50.0
2,0,3,0.3886,22.18,30.0,0.0,-8.32,4.0,5.91,300.0,60.0,30.0,0.0,-15.0,10.0,10.0,162.54,21.75,30.0,0.3,-7.45,6.8,3.01,50.0,15.0,60.0,0.0,-15.0,1.0,10.0,50.0
2,0,4,0.3539,15.0,30.0,0.0,0.0,2.82,3.17,122.95,60.0,30.0,0.0,-15.0,10.0,10.0,253.41,35.27,42.97,0.0,-12.54,10.0,1.11,50.0,15.0,60.0,0.0,-15.0,1.0,10.0,50.0
2,0,5,0.3845,26.57,30.0,0.73,0.0,1.0,10.0,50.0,60.0,30.0,1.21,-14.53,10.0,10.0,149.82,54.27,30.0,0.0,-15.0,10.0,2.06,196.83,15.0,60.0,0.0,-15.0,1.0,10.0,50.0
2,0,6,0.3533,23.42,30.0,0.0,0.0,1.0,10.0,171.14,60.0,30.0,0.01,-12.47,10.0,10.0,180.94,60.0,30.0,0.0,-15.0,10.0,5.28,149.86,15.0,60.0,0.0,-15.0,1.0,10.0,50.0
2,0,7,0.3271,53.28,30.0,0.0,0.0,1.82,10.0,187.39,60.0,33.39,0.63,-15.0,8.49,10.0,225.61,33.7,30.0,0.0,-15.0,10.0,5.42,50.0,59.71,54.97,0.0,-13.88,1.0,10.0,50.0
2,0,8,0.3429,60.0,30.0,0.0,0.0,9.26,10.0,119.57,60.0,35.71,0.89,-14.04,4.42,5.2,80.61,60.0,30.0,0.0,-15.0,10.0,1.56,50.0,60.0,60.0,1.01,-15.0,1.0,10.0,50.0
