score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.4161,27.84,32.49,1.56,-7.77,6.97,4.9,243.28,51.59,34.77,1.91,-12.48,5.86,3,90.53,22.74,52,1,-0.62,8.54,9.47,73.43,30.63,33.17,0.05,-10.23,3.84,9.16,108.2
0.3646,27.84,41.53,0.86,-7.77,3.65,4.9,216.79,51.59,39.19,1.91,-11.2,4.88,7.35,90.53,22.74,52,1.26,-2.76,7.52,9.47,73.43,16.72,33.17,0.05,-6.19,3.84,9.16,108.65
0.4131,27.68,32.49,1.56,-7.77,3.65,8.6,216.79,44.79,39.19,1.91,-12.48,5.86,3,57.17,22.74,52.05,1.26,-2.76,7.52,4.4,73.43,16.72,47.26,0.05,-6.19,3.84,5.27,108.2
0.3906,27.84,58.34,1.56,-8.89,6.97,4.9,243.28,51.59,39.19,1.91,-11.2,4.88,3,57.17,20.44,52,1,-0.62,8.54,4.4,73.43,15.83,47.26,0.05,-10.23,3.84,5.27,108.2
0.3631,27.68,55.13,1.56,-7.77,3.65,4.9,243.28,51.59,39.19,1.91,-11.2,5.86,7.35,57.17,22.74,52.05,1,-0.62,7.52,4.4,196.68,16.72,47.26,0.05,-6.19,7.56,5.27,108.65
0.4211,27.84,32.49,1.56,-7.77,6.97,4.9,243.28,19.37,39.19,1.91,-12.48,5.86,7.35,90.53,20.44,52,1.26,-2.76,8.54,4.4,73.43,16.72,47.26,1.98,-6.19,7.56,5.27,108.65
0.3879,26.71,34.27,0.86,-8.89,3.65,8.6,243.28,51.59,39.19,1.91,-11.2,4.88,7.35,90.53,20.44,52,1,-0.62,8.54,4.4,73.43,15.83,47.26,1.98,-6.19,7.56,9.16,108.65
0.4162,27.84,32.49,0.86,-7.77,6.97,4.9,216.79,34.06,34.77,1.91,-12.48,4.88,7.35,90.53,22.74,52,1.26,-0.62,8.54,9.47,196.68,15.83,31.18,0.05,-6.19,3.84,5.27,108.2
0.4207,27.84,34.27,1.56,-8.89,6.97,4.9,243.28,34.06,39.19,1.91,-12.48,4.88,3,57.17,20.44,52.05,1,-2.76,8.54,2.52,73.43,16.72,47.26,1.98,-10.23,3.84,5.27,108.65
0.4155,27.84,32.49,1.56,-8.89,6.97,4.9,243.28,51.59,34.77,1.13,-12.48,5.86,3,57.17,22.74,52.05,1,-2.76,7.52,4.4,196.68,16.72,47.26,0.05,-6.19,7.56,9.62,108.2
